Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
19	:	1777625710.577	  1208.485	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 5.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_2.0_l2_5.0.log 2>&1
18	:	1777625706.994	  1213.361	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_2.0_l2_2.0.log 2>&1
23	:	1777626054.608	  1213.213	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 5.0 --lambda-evt 2.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_5.0_l2_2.0.log 2>&1
21	:	1777626051.563	  1216.516	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 5.0 --lambda-evt 0.5         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_5.0_l2_0.5.log 2>&1
22	:	1777626054.026	  1216.677	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 5.0 --lambda-evt 1.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_5.0_l2_1.0.log 2>&1
24	:	1777626061.266	  1211.878	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 5.0 --lambda-evt 5.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_5.0_l2_5.0.log 2>&1
26	:	1777626913.109	   360.227	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 1         --lambda-dd 1.0 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s1_l1_1.0_l2_0.0.log 2>&1
28	:	1777626915.820	   359.786	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 1         --lambda-dd 5.0 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s1_l1_5.0_l2_0.0.log 2>&1
27	:	1777626915.676	   360.133	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 1         --lambda-dd 2.0 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s1_l1_2.0_l2_0.0.log 2>&1
25	:	1777626912.222	   365.621	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 1         --lambda-dd 0.5 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s1_l1_0.5_l2_0.0.log 2>&1
30	:	1777626920.361	  1239.875	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 0.5 --lambda-evt 0.5         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s1_l1_0.5_l2_0.5.log 2>&1
29	:	1777626919.066	  1244.860	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 0.5 --lambda-evt 0.1         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s1_l1_0.5_l2_0.1.log 2>&1
32	:	1777627268.083	  1236.843	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 0.5 --lambda-evt 2.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s1_l1_0.5_l2_2.0.log 2>&1
31	:	1777627267.826	  1238.390	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 0.5 --lambda-evt 1.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s1_l1_0.5_l2_1.0.log 2>&1
33	:	1777627270.707	  1239.187	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 0.5 --lambda-evt 5.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s1_l1_0.5_l2_5.0.log 2>&1
