variant,orig_mdd,orig_cdar_95,orig_sharpe,orig_calmar,orig_turnover_mean,orig_n,opt_mdd,opt_cdar_95,opt_sharpe,opt_calmar,opt_turnover_mean,opt_n
V0,0.16599184122746755,0.14994571562191739,-0.5447500531375458,-0.31932802484563144,1.024970833829128,195,0.12826865497711104,0.1109697420483828,0.1778693472394968,0.5635043182817782,0.6175051678774486,195
V1,0.1516888974750277,0.13504968990307897,-0.36300604057393904,-0.15931492492059066,0.8825173811230247,195,0.12290797224278475,0.10549065903141645,0.3240435941929429,0.7592791330865595,0.5193607148532046,195
V2,0.14907181796605903,0.13273941521930063,-0.3273452758232887,-0.07941284661951106,0.8823662706473431,195,0.12008743284356695,0.10285083522594711,0.36414627767055197,0.8358519519511417,0.5194430209472036,195
V3,0.14285692755160787,0.12586171240556418,-0.16877248692381866,0.043056850972549854,0.7912509619074279,195,0.11725784565910205,0.09980291978187693,0.5021287532176217,1.1050138244712062,0.43343974615917436,195
V4,0.1393945327374939,0.12250047902500169,-0.1369544181388876,0.06656999818917184,0.7917396985860794,195,0.11577207089195592,0.09861184240176953,0.5231720497016219,1.1531398964411146,0.43421584429922266,195
