market,asset_class,n_pairs,n,mean_mdd_base,mean_mdd_evt,mean_diff,median_diff,paired_t_pvalue,paired_t_reject,wilcoxon_pvalue,wilcoxon_reject,bootstrap_ci_lower,bootstrap_ci_upper,alpha
BOND_US,Fixed Income,55,55,0.09950119216812355,0.08959745165996268,-0.009903740508160862,-0.01004977761396543,4.2928861196294755e-18,True,9.084187521926874e-11,True,-0.011711191760897003,-0.007623411828392009,0.05
BRD_CMDY,Commodity,45,45,0.1550679630004826,0.14706576531323784,-0.008002197687244741,-0.00449251306112336,0.0012347247492302776,True,0.0028555691262113214,True,-0.013535726177322013,-0.005469056411171253,0.05
CRYPTO,Cryptocurrency,20,20,0.4384357194191627,0.4307532389718654,-0.007682480447297321,-0.017046169089285718,0.09673846777992597,False,0.09467411041259766,False,-0.015475656902187144,-0.0020790590180283786,0.05
DJIA,Equity (US large cap),65,65,0.10692539907106814,0.09918944420679725,-0.007735954864270881,-0.005969918312642181,3.962786450023262e-08,True,5.4922390005593785e-08,True,-0.011327527174386077,-0.0051742278807739295,0.05
FX_MIX,Foreign Exchange,65,65,0.08562327844717174,0.07030485614333173,-0.015318422303840035,-0.01420903775522972,1.0082773185396563e-16,True,7.876587976343009e-12,True,-0.017821954448971843,-0.012298984591130347,0.05
HSI,Equity (Asia),65,65,0.16757935190108658,0.16243816367942457,-0.0051411882216619905,-0.00393667305180323,6.337911603916404e-05,True,5.398416794365623e-05,True,-0.007652215714294105,-0.0030634180246497276,0.05
IBEX,Equity (Europe),65,65,0.15990892183049,0.14908348092228066,-0.010825440908209364,-0.007950452813433373,1.3935481483997061e-08,True,3.311222877555993e-08,True,-0.014264046913402257,-0.008177573515773223,0.05
SP50,Equity (US broad),65,65,0.10188959582679614,0.09904328754678982,-0.00284630828000633,-0.0024123470682472087,0.001832990508062797,True,0.0015203488656257153,True,-0.004903153430144621,-0.001527796398012077,0.05
