,,mdd,mdd,mdd,cdar_95,cdar_95,cdar_95,sharpe,sharpe,sharpe,sortino,sortino,sortino,calmar,calmar,calmar,cagr,cagr,cagr,vol_annualised,vol_annualised,vol_annualised,turnover_mean,turnover_mean,turnover_mean
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
asset_class,variant,,,,,,,,,,,,,,,,,,,,,,,,
Equity (US large cap),V2,0.102,0.0552,65,0.0857,0.0491,65,0.531,0.7593,65,0.7335,1.0515,65,1.1539,1.8819,65,0.0579,0.1262,65,0.1365,0.0477,65,0.4676,0.0295,65
Equity (US large cap),V3,0.1015,0.0546,65,0.0853,0.048,65,0.5472,0.7832,65,0.7637,1.0963,65,1.2074,1.961,65,0.0619,0.1358,65,0.1369,0.0478,65,0.454,0.0291,65
Equity (US large cap),V4,0.0992,0.0537,65,0.0832,0.0473,65,0.5992,0.7667,65,0.8294,1.0643,65,1.3184,2.0367,65,0.0681,0.1309,65,0.1368,0.0479,65,0.4512,0.0283,65
Fixed Income,V0,0.1131,0.0431,55,0.1101,0.0422,55,-3.1346,1.4335,55,-4.5429,1.9561,55,-1.15,0.2055,55,-0.1307,0.0532,55,0.0485,0.0196,55,0.6541,0.0231,55
Fixed Income,V1,0.0995,0.0447,55,0.0965,0.0441,55,-2.5952,1.3933,55,-3.8132,1.9545,55,-1.0733,0.2659,55,-0.109,0.0561,55,0.0479,0.0197,55,0.5507,0.0276,55
Fixed Income,V2,0.0996,0.0438,55,0.0965,0.0428,55,-2.6078,1.3254,55,-3.8016,1.8514,55,-1.0848,0.2608,55,-0.11,0.0541,55,0.0479,0.0198,55,0.5541,0.025,55
Fixed Income,V3,0.089,0.0429,55,0.0858,0.042,55,-2.0945,1.259,55,-3.1027,1.8363,55,-0.9639,0.3794,55,-0.0898,0.0552,55,0.0476,0.0198,55,0.4684,0.0212,55
Fixed Income,V4,0.0896,0.0416,55,0.0864,0.0407,55,-2.149,1.2477,55,-3.1677,1.8,55,-0.9863,0.3522,55,-0.0915,0.0525,55,0.0477,0.0197,55,0.4734,0.0229,55
Foreign Exchange,V0,0.0943,0.0216,65,0.0901,0.0219,65,-3.8197,1.4037,65,-5.5626,2.0936,65,-1.1779,0.0842,65,-0.1116,0.0285,65,0.0324,0.0052,65,0.604,0.0332,65
Foreign Exchange,V1,0.0856,0.0199,65,0.0806,0.0204,65,-3.3572,1.327,65,-4.9174,2.0801,65,-1.1539,0.1071,65,-0.0995,0.0272,65,0.0329,0.0071,65,0.5339,0.0205,65
Foreign Exchange,V2,0.086,0.0164,65,0.0812,0.017,65,-3.4095,1.2507,65,-4.9762,1.9309,65,-1.1607,0.0946,65,-0.1002,0.0226,65,0.0326,0.0066,65,0.5381,0.0216,65
Foreign Exchange,V3,0.0709,0.017,65,0.0665,0.0176,65,-2.7427,1.1888,65,-4.0685,1.8852,65,-1.116,0.1473,65,-0.08,0.0245,65,0.0321,0.0062,65,0.4459,0.0203,65
Foreign Exchange,V4,0.0703,0.0175,65,0.0662,0.0178,65,-2.7272,1.1508,65,-4.021,1.8043,65,-1.1112,0.1491,65,-0.0788,0.0241,65,0.0317,0.0065,65,0.4451,0.0166,65
