baseline,n_pairs,mean_d_pp,median_d_pp,std_d_pp,pct_V4_better,p_t_one_sided,p_wilcoxon_one_sided,ci95_b1_lo_pp,ci95_b1_hi_pp,ci95_b5_lo_pp,ci95_b5_hi_pp,ci95_b20_lo_pp,ci95_b20_hi_pp
POTPG,195,1.513524623853017,1.3174535846995739,1.1801963010923922,4.615384615384616,1.0,1.0,1.3507101947825886,1.680716853723759,1.3555407674446807,1.6789121411832615,1.387249219463322,1.6258350886611959
EXDRL,195,-7.678005082893204,-7.8731493600606735,3.971223232027707,98.46153846153847,6.349404576498143e-68,9.058670584188127e-34,-8.232588304592827,-7.124294781707705,-8.236317688250992,-7.099551527946925,-8.262013716974959,-7.108828567295783
