baseline,n_pairs,mean_d_pp,median_d_pp,pct_V4_better,p_t_one_sided,p_wilcoxon_one_sided,ci95_b1_lo_pp,ci95_b1_hi_pp,ci95_b5_lo_pp,ci95_b5_hi_pp,ci95_b20_lo_pp,ci95_b20_hi_pp
POTPG,195,1.513524623853017,1.3174535846995739,4.615384615384616,1.0,1.0,1.3528537462030745,1.6779246517509263,1.2521616237439914,1.8171583828657463,1.254786257969703,1.9302288281369626
EXDRL,195,-7.678005082893202,-7.8731493600606735,98.46153846153847,6.349404576498467e-68,9.058670584188127e-34,-8.232818975583378,-7.120325291366653,-8.624643456112649,-6.888360243806209,-8.66399773585802,-6.828328389399639
