xi_bin,n,xi_mean,mean_diff,median_diff,pct_V4_better
very_bounded,35,-0.30678,-0.00692,-0.00336,77.14286
bounded,85,-0.0756,-0.00908,-0.00597,81.17647
near_zero,25,0.05431,-0.00695,-0.00637,80.0
heavy,35,0.16669,-0.00593,-0.007,74.28571
