Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
34	:	1778375813.311	   431.081	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V1 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f1_V1_s3.log 2>&1
21	:	1778371585.720	  4787.599	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V4 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f0_V4_s0.log 2>&1
35	:	1778376179.367	   413.007	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V1 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f1_V1_s4.log 2>&1
22	:	1778371924.511	  4825.406	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V4 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f0_V4_s1.log 2>&1
23	:	1778372313.740	  4802.766	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V4 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f0_V4_s2.log 2>&1
41	:	1778377116.516	   731.764	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V3 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f1_V3_s0.log 2>&1
42	:	1778377848.290	   732.894	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V3 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f1_V3_s1.log 2>&1
43	:	1778378581.194	   728.585	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V3 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f1_V3_s2.log 2>&1
24	:	1778374776.095	  4841.128	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V4 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f0_V4_s3.log 2>&1
25	:	1778374827.257	  4804.305	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V4 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f0_V4_s4.log 2>&1
44	:	1778379309.785	   740.618	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V3 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f1_V3_s3.log 2>&1
45	:	1778379617.229	   732.511	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V3 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f1_V3_s4.log 2>&1
36	:	1778376212.018	  4465.101	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V2 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f1_V2_s0.log 2>&1
37	:	1778376244.401	  4435.895	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V2 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f1_V2_s1.log 2>&1
38	:	1778376373.334	  4437.974	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V2 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f1_V2_s2.log 2>&1
39	:	1778376592.388	  4382.299	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V2 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f1_V2_s3.log 2>&1
40	:	1778376749.922	  4453.782	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V2 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f1_V2_s4.log 2>&1
51	:	1778380811.314	   412.641	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f2_V0_s0.log 2>&1
52	:	1778380974.693	   436.621	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f2_V0_s1.log 2>&1
53	:	1778381203.715	   436.851	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f2_V0_s2.log 2>&1
54	:	1778381223.961	   427.467	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f2_V0_s3.log 2>&1
55	:	1778381411.323	   435.263	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V0 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f2_V0_s4.log 2>&1
56	:	1778381640.572	   435.378	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f2_V1_s0.log 2>&1
57	:	1778381651.434	   431.326	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V1 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f2_V1_s1.log 2>&1
58	:	1778381846.595	   435.828	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f2_V1_s2.log 2>&1
59	:	1778382075.957	   433.280	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V1 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f2_V1_s3.log 2>&1
60	:	1778382082.765	   431.951	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V1 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f2_V1_s4.log 2>&1
46	:	1778379631.569	  4758.779	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V4 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f1_V4_s0.log 2>&1
47	:	1778380050.410	  4836.753	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V4 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f1_V4_s1.log 2>&1
48	:	1778380349.745	  4796.082	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V4 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f1_V4_s2.log 2>&1
49	:	1778380677.126	  4756.271	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V4 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f1_V4_s3.log 2>&1
50	:	1778380680.302	  4793.236	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V4 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f1_V4_s4.log 2>&1
66	:	1778385145.832	   742.410	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V3 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f2_V3_s0.log 2>&1
67	:	1778385433.409	   761.443	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V3 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f2_V3_s1.log 2>&1
68	:	1778385473.543	   757.588	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V3 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f2_V3_s2.log 2>&1
69	:	1778385888.247	   748.539	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V3 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f2_V3_s3.log 2>&1
61	:	1778382282.429	  4457.643	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V2 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f2_V2_s0.log 2>&1
70	:	1778386194.859	   745.130	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V3 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f2_V3_s4.log 2>&1
63	:	1778382514.723	  4479.496	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V2 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f2_V2_s2.log 2>&1
62	:	1778382509.245	  4497.789	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 2 --variant V2 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f2_V2_s1.log 2>&1
76	:	1778387007.046	   405.319	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 3 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f3_V0_s0.log 2>&1
77	:	1778387412.370	   409.039	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 3 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f3_V0_s1.log 2>&1
