market,model,alpha,kupiec_violations,kupiec_n,kupiec_rate,kupiec_expected_rate,kupiec_stat,kupiec_pvalue,chr_stat,chr_pvalue
IBEX,Empirical,0.95,198,4099,0.048304464503537446,0.050000000000000044,0.2507863704606166,0.6165219133680582,24.573218274251417,7.153912351398617e-07
IBEX,Normal,0.95,191,4099,0.04659673090997804,0.050000000000000044,1.021734329427602,0.3121079743095495,20.045705094320567,7.5613158947440695e-06
IBEX,EVT_POT,0.95,198,4099,0.048304464503537446,0.050000000000000044,0.2507863704606166,0.6165219133680582,22.149852318998057,2.52175366832752e-06
IBEX,Empirical,0.99,45,4099,0.010978287387167602,0.010000000000000009,0.3840558367406999,0.5354405742702957,10.28857783957731,0.0013385621740009679
IBEX,Normal,0.99,71,4099,0.017321297877531106,0.010000000000000009,18.210428014000712,1.977929034124859e-05,13.79367741461487,0.00020402167033883867
IBEX,EVT_POT,0.99,43,4099,0.010490363503293486,0.010000000000000009,0.0979861321737161,0.7542598707536603,6.582457731496046,0.010298859567776097
