market,fold,alpha,pot_xi,pot_sigma,pot_var,pot_violation_rate,pot_expected_rate,gev_shape,gev_location,gev_scale,gev_var,gev_violation_rate
DJIA,0,0.95,-0.0024194515701836394,0.015770942139188532,0.023498749085864586,0.003968253968253968,0.050000000000000044,0.7803378894902258,0.008652201354256133,0.014403778115361626,0.177599310748897,0.0
DJIA,0,0.99,-0.0024194515701836394,0.015770942139188532,0.0488316978033516,0.0,0.010000000000000009,0.7803378894902258,0.008652201354256133,0.014403778115361626,0.6587962005512462,0.0
DJIA,1,0.95,-0.023252861585260076,0.010359683412426962,0.01847854367002509,0.011904761904761904,0.050000000000000044,0.2858939572001955,0.005611840523939747,0.006295223271769949,0.03506689492694539,0.0
DJIA,1,0.99,-0.023252861585260076,0.010359683412426962,0.03454470325512467,0.0,0.010000000000000009,0.2858939572001955,0.005611840523939747,0.006295223271769949,0.06562201906873742,0.0
DJIA,2,0.95,0.06489740409922062,0.007441939767368655,0.014923852716689133,0.07171314741035857,0.050000000000000044,0.22791897404300573,0.0049530306684596355,0.005188354257608012,0.026986194623111394,0.01195219123505976
DJIA,2,0.99,0.06489740409922062,0.007441939767368655,0.027549708385149828,0.01195219123505976,0.010000000000000009,0.22791897404300573,0.0049530306684596355,0.005188354257608012,0.04714063707516214,0.0
DJIA,3,0.95,0.16657807467839897,0.0055508252079059265,0.015302819926301673,0.031746031746031744,0.050000000000000044,0.20069565434703107,0.005331727436809701,0.005089797707921066,0.026001672503507135,0.003968253968253968
DJIA,3,0.99,0.16657807467839897,0.0055508252079059265,0.02587670840826222,0.003968253968253968,0.010000000000000009,0.20069565434703107,0.005331727436809701,0.005089797707921066,0.0438143832532939,0.0
DJIA,4,0.95,-0.025413105676139414,0.005726834870716564,0.012901570746731502,0.007936507936507936,0.050000000000000044,0.10890777370448917,0.004459740243326113,0.004858452546831007,0.02149767735829375,0.0
DJIA,4,0.99,-0.025413105676139414,0.005726834870716564,0.02168360233181758,0.0,0.010000000000000009,0.10890777370448917,0.004459740243326113,0.004858452546831007,0.03347265259375805,0.0
DJIA,5,0.95,-0.05648647455421718,0.006315312763561516,0.012134807968100372,0.11952191235059761,0.050000000000000044,0.8017132417400419,0.0034364129751367697,0.005136935587231087,0.06634705204943661,0.0
DJIA,5,0.99,-0.05648647455421718,0.006315312763561516,0.02120172270940126,0.055776892430278883,0.010000000000000009,0.8017132417400419,0.0034364129751367697,0.005136935587231087,0.2531017068486669,0.0
DJIA,6,0.95,-0.04102644344291129,0.0075573649733482315,0.014113976442762171,0.03571428571428571,0.050000000000000044,0.7962056997104844,0.003936373934229777,0.00586377927564753,0.0749524747623519,0.0
DJIA,6,0.99,-0.04102644344291129,0.0075573649733482315,0.02536475292908012,0.007936507936507936,0.010000000000000009,0.7962056997104844,0.003936373934229777,0.00586377927564753,0.28353580475136386,0.0
DJIA,7,0.95,-0.06218922716625108,0.008207639600759872,0.014187750935635308,0.14682539682539683,0.050000000000000044,0.8001700053261707,0.0037436963664117156,0.0057371566031057175,0.07378585552650743,0.011904761904761904
DJIA,7,0.99,-0.06218922716625108,0.008207639600759872,0.02603061748764296,0.07936507936507936,0.010000000000000009,0.8001700053261707,0.0037436963664117156,0.0057371566031057175,0.2810916890131883,0.0
DJIA,8,0.95,0.21976359893421205,0.009079220937319925,0.016936575498825192,0.023809523809523808,0.050000000000000044,0.7939740351087339,0.004046403830399533,0.006112155361246031,0.07773736735431533,0.0
DJIA,8,0.99,0.21976359893421205,0.009079220937319925,0.038572556452532734,0.0,0.010000000000000009,0.7939740351087339,0.004046403830399533,0.006112155361246031,0.2932445573698297,0.0
DJIA,9,0.95,0.2275306277759485,0.009570820667600611,0.01674522501130252,0.08764940239043825,0.050000000000000044,0.4036022293218482,0.004273965337461636,0.005001849659396302,0.032976942229893516,0.00796812749003984
DJIA,9,0.99,0.2275306277759485,0.009570820667600611,0.03803877553932058,0.00398406374501992,0.010000000000000009,0.4036022293218482,0.004273965337461636,0.005001849659396302,0.07122263824392978,0.0
DJIA,10,0.95,0.19590624815400282,0.008895404542617235,0.01984203462540456,0.0,0.050000000000000044,0.28725327984615057,0.006302598569522031,0.006297984716823252,0.03583847851014941,0.0
DJIA,10,0.99,0.19590624815400282,0.008895404542617235,0.04123541454878011,0.0,0.010000000000000009,0.28725327984615057,0.006302598569522031,0.006297984716823252,0.06656733501656745,0.0
DJIA,11,0.95,0.2575224203572779,0.007528069994949259,0.017688594255031498,0.007936507936507936,0.050000000000000044,0.3167403463905828,0.005793530992852456,0.005402118898903132,0.032433665663759687,0.0
DJIA,11,0.99,0.2575224203572779,0.007528069994949259,0.037256266106941764,0.0,0.010000000000000009,0.3167403463905828,0.005793530992852456,0.005402118898903132,0.061961724391902236,0.0
SP50,0,0.95,0.11969508089851133,0.01027877600353052,0.023797873146463543,0.003968253968253968,0.050000000000000044,0.7827774474122745,0.008271244056234977,0.013810209487872028,0.17105397025934582,0.0
SP50,0,0.99,0.11969508089851133,0.01027877600353052,0.04533677181021054,0.0,0.010000000000000009,0.7827774474122745,0.008271244056234977,0.013810209487872028,0.636892650772429,0.0
SP50,1,0.95,-0.003136151954268529,0.009735581978819774,0.01792699508728848,0.01984126984126984,0.050000000000000044,0.26385318085041326,0.005656431593473269,0.006275907491040381,0.03395056765376218,0.0
SP50,1,0.99,-0.003136151954268529,0.009735581978819774,0.03353988211214898,0.0,0.010000000000000009,0.26385318085041326,0.005656431593473269,0.006275907491040381,0.061936287899785114,0.0
SP50,2,0.95,0.0866990975173152,0.0064849517922929666,0.014762406096365775,0.06374501992031872,0.050000000000000044,0.8092787134947839,0.0041695559916735386,0.005663871106003072,0.07460561314494799,0.0
SP50,2,0.99,0.0866990975173152,0.0064849517922929666,0.02721634560237143,0.01195219123505976,0.010000000000000009,0.8092787134947839,0.0041695559916735386,0.005663871106003072,0.2867771725149637,0.0
SP50,3,0.95,0.09164964564814898,0.006204436920997668,0.014514130007304945,0.031746031746031744,0.050000000000000044,0.2012772605271424,0.005153604875675198,0.0050724296723563475,0.0257725791086871,0.003968253968253968
SP50,3,0.99,0.09164964564814898,0.006204436920997668,0.026733314909467634,0.003968253968253968,0.010000000000000009,0.2012772605271424,0.005153604875675198,0.0050724296723563475,0.043564090303426124,0.0
SP50,4,0.95,-0.016255243006449316,0.005712311400996563,0.012482378525282715,0.007936507936507936,0.050000000000000044,0.15917223184595694,0.004504278094861791,0.004428764236992233,0.021321952505980374,0.0
SP50,4,0.99,-0.016255243006449316,0.005712311400996563,0.021361982382242406,0.0,0.010000000000000009,0.15917223184595694,0.004504278094861791,0.004428764236992233,0.034545111128727886,0.0
SP50,5,0.95,0.028873561053002206,0.005337222212569562,0.011701960710428196,0.11553784860557768,0.050000000000000044,0.22660745191453377,0.003681148450693676,0.003935662259383268,0.020358409404896867,0.055776892430278883
