model,term,coef,se,t,p,r2
diff ~ xi,intercept,-0.01239,0.00214,-5.79918,0.0,0.01349
diff ~ xi,fold_xi,0.01908,0.01223,1.56031,0.12046,0.01349
diff ~ xi + kurt,intercept,-0.00651,0.00357,-1.82593,0.06955,0.0363
diff ~ xi + kurt,fold_xi,0.04199,0.0165,2.54505,0.01178,0.0363
diff ~ xi + kurt,fold_kurtosis,-0.00182,0.00089,-2.0468,0.04216,0.0363
