regime,n,mean_V1,mean_V4,mean_diff,median_diff,pct_V4_better,t_pvalue,wilcoxon_pvalue,ci_lower_95,ci_upper_95
benign,100,0.10978,0.09905,-0.01073,-0.00602,61.0,3e-05,0.00017,-0.08593,0.03079
moderate,60,0.17199,0.16066,-0.01133,-0.00642,65.0,0.00042,0.00074,-0.0653,0.03466
crisis,35,0.23661,0.2182,-0.01841,-0.01712,65.71429,0.00073,0.00169,-0.07524,0.03343
