criterion,variant,lambda_dd,lambda_evt,mdd_mean,cagr_mean,sharpe_mean,calmar_mean
min_MDD,V4,2.0,2.0,0.0567465904369931,0.15401314996516055,1.3478277415850481,2.714185841179107
max_Calmar,V4,2.0,5.0,0.05779242481233254,0.161816319564402,1.4143775482817567,2.7983672103043573
max_Sharpe,V4,5.0,5.0,0.058585737833598155,0.16331140653368834,1.427348911504499,2.7911502966073782
min_MDD_with_positive_CAGR,V4,2.0,2.0,0.0567465904369931,0.15401314996516055,1.3478277415850481,2.714185841179107
