block_size,mean_diff,ci_lower,ci_upper,ci_width
1,-0.012294364737533816,-0.01600707999204813,-0.008582715705797004,0.007424364286251128
2,-0.012294364737533816,-0.01608740008705246,-0.008703418449225987,0.0073839816378264735
3,-0.012294364737533816,-0.016307672861976527,-0.00882604116680251,0.007481631695174016
5,-0.012294364737533816,-0.016738419943712217,-0.008570475625142534,0.008167944318569683
10,-0.012294364737533816,-0.01754981389289284,-0.008049343304865548,0.009500470588027292
20,-0.012294364737533816,-0.01908034444603301,-0.007980772393595483,0.011099572052437529
